Date,Max_temp,Min_temp,Avg_temp
1/1/2019,27.5,10.6,19
1/2/2019,27.8,11,19.1
1/3/2019,27,10,18.3
1/4/2019,24.8,8.8,16.8
1/5/2019,26.4,8.5,17.4
1/6/2019,27.8,9.3,18.7
1/7/2019,28.2,9.7,18.5
1/8/2019,26.5,10,18.4
1/9/2019,26.3,10.4,18.5
1/10/2019,25.6,10.8,18.1
1/11/2019,25.8,8.2,17.4
1/12/2019,26.2,9.2,17.8
1/13/2019,27,9.8,18.4
1/14/2019,26.6,10.2,18.7
1/15/2019,25.1,10.3,17.7
1/16/2019,26.2,8.3,17.7
1/17/2019,26.7,9.3,18
1/18/2019,27,10.3,18.3
1/19/2019,26.2,10.3,18.1
1/20/2019,26.5,10.5,18.4
1/21/2019,27.2,11,18.8
1/22/2019,28.5,11,19.9
1/23/2019,29,11.2,20.3
1/24/2019,29.8,11.4,20.4
1/25/2019,30.5,12.4,21.3
1/26/2019,31,13,22
1/27/2019,29,14.5,22.2
1/28/2019,25.5,16.5,21.2
1/29/2019,25.3,15.7,19.7
1/30/2019,24.5,8.6,17
1/31/2019,27,9.6,18.3
2/1/2019,30,9.2,20.3
2/2/2019,28.5,11,20.1
2/3/2019,28.5,10.5,19.7
2/4/2019,28.8,10,20.1
2/5/2019,27.2,9.3,18.7
2/6/2019,28.2,8.8,19.3
2/7/2019,33,11,20.9
2/8/2019,30.6,12.6,23.3
2/9/2019,29.5,15.9,23.5
2/10/2019,27.5,16,20.2
2/11/2019,27.6,10.5,19.2
2/12/2019,28.5,10.8,20.3
2/13/2019,29.5,12.5,20.9
2/14/2019,30.5,12.6,21.9
2/15/2019,31.5,13.4,23.1
2/16/2019,25.2,14,20.4
2/17/2019,28.5,14.5,22.6
2/18/2019,28.5,14,23.5
2/19/2019,30.5,16.6,23.8
2/20/2019,31.2,19.6,25.2
2/21/2019,29,20.6,24.2
2/22/2019,32.8,20.5,26.3
2/23/2019,32.2,21.5,27
2/24/2019,31.4,20,25.7
2/25/2019,21.1,16.7,20.1
2/26/2019,23.5,17,20.2
2/27/2019,27.2,17.6,22.2
2/28/2019,28,17.5,22.1
3/1/2019,27,16.8,21.3
3/2/2019,27.2,12,20.4
3/3/2019,28.4,11.5,22.3
3/4/2019,27.8,16.2,23.8
3/5/2019,25.8,20,23.3
3/6/2019,28.2,20.8,24.5
3/7/2019,29.3,20.7,25.3
3/8/2019,29.6,17.6,24.4
3/9/2019,30.7,15.6,24.6
3/10/2019,30.7,17.5,25.6
3/11/2019,31.7,22,26.7
3/12/2019,34,23.7,28
3/13/2019,34,22.7,28.2
3/14/2019,34.5,24.2,27.9
3/15/2019,34.1,23.4,29.1
3/16/2019,34,22.6,28.1
3/17/2019,33.8,20,27.1
3/18/2019,30.8,19.5,25.5
3/19/2019,32.2,19.8,27.4
3/20/2019,33.1,21.5,26.4
3/21/2019,34.2,21.9,28.5
3/22/2019,33.4,24.2,26.7
3/23/2019,33.8,20.8,27.9
3/24/2019,34.2,20.2,27.2
3/25/2019,34.7,16.9,27.2
3/26/2019,35.2,20,28.5
3/27/2019,31.4,20.2,26.4
3/28/2019,34,19.5,27.3
3/29/2019,33.7,21.5,28.1
3/30/2019,33.7,22.5,28.6
3/31/2019,34,24.3,27.7
4/1/2019,30.1,20,25.9
4/2/2019,32.8,23.9,28.7
4/3/2019,33.7,23,28.1
4/4/2019,33,20.5,28.6
4/5/2019,31.5,23.7,28.5
4/6/2019,32.5,25.4,28
4/7/2019,31.5,20,27.2
4/8/2019,30.8,24,25.5
4/9/2019,33.2,22.5,26.4
4/10/2019,30,20,26
4/11/2019,33,21.3,27.6
4/12/2019,32.5,21,28.6
4/13/2019,34.5,25,27.7
4/14/2019,34,21.2,28.8
4/15/2019,34.4,24.8,29.6
4/16/2019,34.4,26.3,29.7
4/17/2019,35.2,24.8,30.3
4/18/2019,33.7,23,29.2
4/19/2019,35,22.5,29
4/20/2019,34.8,21.7,29.1
4/21/2019,35.3,23,29.8
4/22/2019,34,21.8,29.1
4/23/2019,35,22.8,30.1
4/24/2019,36.6,23.7,30.5
4/25/2019,36,24,30.6
4/26/2019,35.5,25.5,30.5
4/27/2019,36.2,25.5,30.8
4/28/2019,34.7,27.5,30.7
4/29/2019,35.2,27.4,30.8
4/30/2019,34.7,27.2,30.8
5/1/2019,35.2,27.3,30.9
5/2/2019,35.2,26.6,30.7
5/3/2019,35.2,27.8,28.6
5/4/2019,28,24.5,27.3
5/5/2019,34.7,22.3,29.7
5/6/2019,34.7,26.7,30.4
5/7/2019,34.6,26.7,30.5
5/8/2019,34.7,27.4,30.8
5/9/2019,35,28,31
5/10/2019,35,28.5,31.3
5/11/2019,35.2,27.8,31.1
5/12/2019,35.3,27.6,31.1
5/13/2019,35,27.5,30.5
5/14/2019,35.1,23,30.1
5/15/2019,35.5,23.2,30.9
5/16/2019,35.7,23.8,31.1
5/17/2019,35.2,26.9,31.2
5/18/2019,35.5,26.5,31.3
5/19/2019,35.5,28.5,31.4
5/20/2019,36,26.1,31.5
5/21/2019,35.8,27.4,31.3
5/22/2019,35.4,27.5,31.2
5/23/2019,34.6,22.2,29.7
5/24/2019,33.9,27.3,31
5/25/2019,30.2,22.2,26.5
5/26/2019,35.7,24,30.8
5/27/2019,36,27.8,31.5
5/28/2019,36.4,27.7,31.3
5/29/2019,36.5,26.5,31.4
5/30/2019,36.2,27.5,31.3
5/31/2019,34.6,27.5,29.9
6/1/2019,34.6,27.8,31
6/2/2019,33.8,27,27.8
6/3/2019,34.2,23.4,29.9
6/4/2019,32.6,25.5,27.7
6/5/2019,30.7,25.3,26
6/6/2019,31.5,25.2,27.8
6/7/2019,30.6,26.3,26.6
6/8/2019,32,25.3,28.5
6/9/2019,32.7,26.5,28.9
6/10/2019,34.8,26.5,30.8
6/11/2019,35,27.5,31.1
6/12/2019,35.8,26.8,31.6
6/13/2019,35.5,25.7,30.9
6/14/2019,34.4,28.2,30.7
6/15/2019,34.4,28.8,29.5
6/16/2019,35,23.8,31.2
6/17/2019,35.2,28.4,31.8
6/18/2019,32.6,25,28.7
6/19/2019,35.6,26.6,31.6
6/20/2019,34.6,28.4,30.8
6/21/2019,32.3,27.2,29.2
6/22/2019,34,26.5,29.9
6/23/2019,35.1,26.7,31
6/24/2019,36.4,27.2,31.9
6/25/2019,35.5,28.1,31.9
6/26/2019,35.2,28,31.4
6/27/2019,35.6,28.3,31.2
6/28/2019,33.5,28.3,29.5
6/29/2019,33.5,26.6,29.6
6/30/2019,34.5,26.8,30.2
7/1/2019,31,27,28.9
7/2/2019,31.6,26.9,29.1
7/3/2019,32.8,26,29.9
7/4/2019,33.2,27,29.9
7/5/2019,31.5,27,29.3
7/6/2019,31.2,27.2,28.4
7/7/2019,29,26.5,28.2
7/8/2019,30.3,26.5,28
7/9/2019,29.3,26.1,28.3
7/10/2019,30.8,27.1,28.2
7/11/2019,30,25.8,27.6
7/12/2019,32.4,26.5,27.9
7/13/2019,31.7,25.5,28.3
7/14/2019,33.5,24,30.2
7/15/2019,34.4,26.2,30.8
7/16/2019,35.2,26.7,31.3
7/17/2019,35,27.5,31.7
7/18/2019,33.3,26.6,29.5
7/19/2019,33.7,25.8,30.1
7/20/2019,34.5,26.9,30.2
7/21/2019,35.2,27.4,30.5
7/22/2019,33.5,27.8,30.2
7/23/2019,34.4,26.5,30.2
7/24/2019,33,27,29
7/25/2019,32.8,25.9,27.9
7/26/2019,30.5,25.5,28
7/27/2019,32.2,25.5,28.4
7/28/2019,31.2,25.5,28.3
7/29/2019,32.2,27.3,28.8
7/30/2019,30.8,25.6,28.4
7/31/2019,31.8,25.5,28.3
8/1/2019,32.2,26.5,28.6
8/2/2019,33.3,26,29
8/3/2019,33,26.8,29.7
8/4/2019,33.4,27.4,30.4
8/5/2019,35.2,27.8,31.2
8/6/2019,32.8,27,30
8/7/2019,30.7,26.2,27.9
8/8/2019,33,26.3,29.4
8/9/2019,29.5,26.6,28
8/10/2019,32.4,26.2,29.5
8/11/2019,35,26,31
8/12/2019,32.4,26,29.5
8/13/2019,28.6,26.2,27.4
8/14/2019,30.4,25.9,29.2
8/15/2019,32,26.8,27.6
8/16/2019,32.5,26,28.4
8/17/2019,29.5,25.3,27.3
8/18/2019,32.9,25.4,28.8
8/19/2019,33.4,26.6,30
8/20/2019,33.4,26.5,29.5
8/21/2019,34.6,26.1,30.7
8/22/2019,33.5,27.4,29.7
8/23/2019,32.2,26.8,28.6
8/24/2019,31.8,26.5,27.4
8/25/2019,32.8,27.1,28.5
8/26/2019,33.5,26.2,29
8/27/2019,33.3,26.2,29.4
8/28/2019,33.5,26,29.9
8/29/2019,34.2,26.6,30
8/30/2019,34.3,26.4,30.3
8/31/2019,34.8,27,30.8
9/1/2019,34.2,26.3,29.7
9/2/2019,33.6,26.5,29.8
9/3/2019,32.5,26.8,29.3
9/4/2019,32.4,27.2,28.9
9/5/2019,31.6,27.5,29.4
9/6/2019,32.5,26.5,29.2
9/7/2019,31.5,26.4,27.9
9/8/2019,29,26.4,27.9
9/9/2019,32.5,26.5,28.8
9/10/2019,30.2,26.6,28.1
9/11/2019,31.5,26.2,28.7
9/12/2019,31,26.2,27.2
9/13/2019,31.5,25.5,29.2
9/14/2019,33.4,26.2,29.3
9/15/2019,33.8,26.5,30.1
9/16/2019,33.3,26.4,30
9/17/2019,34.7,26,30.4
9/18/2019,34.3,25.8,30.3
9/19/2019,35.2,25.8,30.3
9/20/2019,34.5,26.8,28.5
9/21/2019,32.3,26,28.1
9/22/2019,33.6,25.5,29
9/23/2019,32,24.8,29.1
9/24/2019,31.2,25.6,26.9
9/25/2019,30.4,24.8,27.2
9/26/2019,31.8,24.6,27.8
9/27/2019,32.1,24.4,28.2
9/28/2019,30.6,25.5,27.3
9/29/2019,29.8,24.3,25.5
9/30/2019,32.2,23.5,27.2
10/1/2019,29.5,24.5,26.7
10/2/2019,33.4,25,28.7
10/3/2019,33.3,25.6,28.7
10/4/2019,34.8,24.8,29.5
10/5/2019,35,25.5,29.8
10/6/2019,31.5,25.7,27.4
10/7/2019,32.5,23.8,28.4
10/8/2019,32.3,23.9,28.7
10/9/2019,29.6,24,26.5
10/10/2019,28,23.6,26.4
10/11/2019,32.3,23.7,27.5
10/12/2019,32.2,23.6,27.9
10/13/2019,33.6,23.8,28.1
10/14/2019,33.9,22.2,28
10/15/2019,33.5,22.9,28.9
10/16/2019,31.8,24.8,28.4
10/17/2019,34,23.5,28.7
10/18/2019,34,24.6,29.4
10/19/2019,34.6,25,29.7
10/20/2019,34.8,25.3,29.5
10/21/2019,34,24.3,29
10/22/2019,32.4,24.6,28.4
10/23/2019,33,24.5,27.2
10/24/2019,28.5,23.4,25.5
10/25/2019,26.2,22.5,24.3
10/26/2019,30.3,23.4,26.5
10/27/2019,31.4,22.6,26.7
10/28/2019,31,21.8,25.8
10/29/2019,31.7,20.2,26.1
10/30/2019,32.4,21,26.5
10/31/2019,31.8,21.2,26.3
11/1/2019,32,21.1,26.3
11/2/2019,32,21,26.4
11/3/2019,32.2,21,26.6
11/4/2019,32.1,21,26.2
11/5/2019,32.2,20.7,26.5
11/6/2019,30.7,21,25.5
11/7/2019,32,19,26.4
11/8/2019,27.2,22.6,24.6
11/9/2019,24.8,22.8,24.5
11/10/2019,24,22.8,23.8
11/11/2019,29.4,22,24.3
11/12/2019,30.8,20.5,25
11/13/2019,31,21,24.9
11/14/2019,32.1,19.5,25.2
11/15/2019,32.4,19.5,25.5
11/16/2019,31.6,19,25.1
11/17/2019,31,19.3,24.7
11/18/2019,30.6,18.3,23.9
11/19/2019,30.4,17.6,24
11/20/2019,30,17,22.6
11/21/2019,29.5,15.5,22.5
11/22/2019,29.6,17.5,22.9
11/23/2019,29.5,18,23.2
11/24/2019,28.8,17.5,23.1
11/25/2019,29.5,17.7,23.4
11/26/2019,30,17.6,23.6
11/27/2019,30.4,17.7,23.7
11/28/2019,31.2,17,24
11/29/2019,31.4,17.5,23.7
11/30/2019,30.3,17,23.6
12/1/2019,28.5,16.6,22.5
12/2/2019,28.4,16.5,21.4
12/3/2019,28,13.7,20.5
12/4/2019,27.8,14,20.7
12/5/2019,29.6,13.5,21.8
12/6/2019,30.5,15.4,22.8
12/7/2019,30.4,15.3,22.8
12/8/2019,28.8,15.3,22.8
12/9/2019,29.2,16.5,22.4
12/10/2019,28,14.7,21
12/11/2019,27,13.9,21
12/12/2019,26.4,14.9,20.8
12/13/2019,26.5,14,20.7
12/14/2019,28.3,14,21
12/15/2019,28,15.2,21.3
12/16/2019,27.6,14.7,21
12/17/2019,27,15,20.5
12/18/2019,24.6,14.5,18.5
12/19/2019,22,12,16.8
12/20/2019,22.7,13.5,16.6
12/21/2019,20,10.4,16.5
12/22/2019,22.5,12.5,16.8
12/23/2019,24,11.3,18.4
12/24/2019,23.8,12,17.8
12/25/2019,24.1,10.8,18.1
12/26/2019,21,12,17.6
12/27/2019,18.7,13.3,16
12/28/2019,20.2,13,15.1
12/29/2019,24.7,10.2,17.1
12/30/2019,25.2,10.8,17.5
12/31/2019,27.1,11.5,19.2
1/1/2020,27.5,13.4,20.2
1/2/2020,24.8,13,21
1/3/2020,17.8,15.8,18
1/4/2020,20.6,15.8,19
